"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"o_s309","o_s309","Dorsal_ACC",-0.0126968473572706,-0.0201103330434953,-0.0236408703650753,-0.0493120974161171,-0.0282960133426928,-0.0210160840734243,"Limbic"
"o_s321","o_s321","Dorsal_ACC",0.0736116266458172,-0.00615476814344978,0.00772500986459096,0.0592925554172471,0.0607044703232829,-0.0014119149060358,"Limbic"
"o_s323","o_s323","Dorsal_ACC",0.0385657268035034,-0.0382804789240746,-0.0272790297540106,0.0235802715501088,-0.0296689800093932,0.053249251559502,"Limbic"
"o_s324","o_s324","Dorsal_ACC",-0.016364097581113,-0.00721133946610515,-0.0149684391375622,-0.00258222831822128,-0.0192077553673733,0.016625527049152,"Limbic"
"o_s325","o_s325","Dorsal_ACC",0.0211397000480786,-0.0460958450322858,0.0031563930184109,-0.0319842759953944,-0.0492796552320613,0.0172953792366669,"Limbic"
"o_s326","o_s326","Dorsal_ACC",0.0977749577310577,-0.0189670845511462,0.0477537742019408,0.0183925369398219,0.00461431561718567,0.0137782213226362,"Limbic"
"o_s327","o_s327","Dorsal_ACC",-0.0658291728738405,-0.0455212913884729,-0.0638684832789849,-0.0664586923389693,-0.0554280881542191,-0.0110306041847502,"Limbic"
"o_s328","o_s328","Dorsal_ACC",-0.0239722814700093,0.06220648784827,0.0333005759573936,0.0146966336745314,0.00706703735553203,0.00762959631899937,"Limbic"
"o_s329","o_s329","Dorsal_ACC",-0.0262868664975547,-0.00581512296966025,-0.0422829319766917,-0.0452302103164128,-0.0183344752452657,-0.0268957350711471,"Limbic"
"o_s330","o_s330","Dorsal_ACC",0.00554837983110227,-0.0248378364022411,-0.0745676793486173,-0.0187705536646172,-0.0209128164911974,0.0021422628265802,"Limbic"
"o_s331","o_s331","Dorsal_ACC",0.0625635840570627,-0.027335841862698,0.0371730802467251,0.0845958175758429,0.0280255932493552,0.0565702243264877,"Limbic"
"o_s332","o_s332","Dorsal_ACC",-0.0144618539271851,-0.0170183025214284,-0.0444664460921996,-0.0224460122385563,-0.00157966571928844,-0.0208663465192679,"Limbic"
"o_s333","o_s333","Dorsal_ACC",0.0322721352858498,0.0396118980057269,0.0552820714329396,0.102703779211706,0.0518636010061651,0.0508401782055409,"Limbic"
"o_s334","o_s334","Dorsal_ACC",0.105349033284382,-0.0177705506309498,0.0282668418057797,0.0651092738033535,0.0955476253041293,-0.0304383515007758,"Limbic"
"o_s335","o_s335","Dorsal_ACC",-0.0401213164650374,0.0216162294266641,-0.0197230730295629,0.0288953422781966,-0.0209128164911974,0.049808158769394,"Limbic"
"o_s337","o_s337","Dorsal_ACC",-0.0211798865852457,-0.0432064969635938,-0.0445700738500395,-0.0424957760828033,-0.033018666157127,-0.0094771099256763,"Limbic"
"o_s338","o_s338","Dorsal_ACC",-0.00884074258165408,0.184310658358832,0.100755983393236,0.143331675224274,0.128510120982374,0.0148215542419,"Limbic"
"o_s339","o_s339","Dorsal_ACC",0.0675995024917193,-0.0230501988185869,0.0565971503404546,0.0548484385207284,0.0500714381167961,0.00477700040393229,"Limbic"
"o_s340","o_s340","Dorsal_ACC",-0.0394758226436339,0.000754924120113834,-0.0539520701247785,-0.0188125558520573,-0.0174612230835448,-0.0013513327685125,"Limbic"
"o_s342","o_s342","Dorsal_ACC",-0.0305642706041559,0.00048838145384414,0.0155897919868543,0.0198626324940264,0.0128874493674938,0.0069751831265326,"Limbic"
"TD102","TD102","Dorsal_ACC",-0.0419957422916338,0.0131249033262369,-0.0485919280155076,0.0158305566264097,0.0343920392384033,-0.0185614826119936,"Limbic"
